industry,code,name,weight
水産・農林業,1301,極洋,1
水産・農林業,1332,ニッスイ,1
水産・農林業,1333,マルハニチロ,1
水産・農林業,1377,サカタのタネ,1
水産・農林業,1379,ホクト,1
水産・農林業,1384,ホクリヨウ,1
鉱業,1605,INPEX,1
鉱業,1662,石油資源開発,1
鉱業,1515,日鉄鉱業,1
鉱業,1518,三井松島HD,1
建設業,1801,大成建設,1
建設業,1802,大林組,1
建設業,1803,清水建設,1
建設業,1812,鹿島,1
建設業,1925,大和ハウス工業,1
建設業,1928,積水ハウス,1
建設業,1911,住友林業,1
建設業,1721,コムシスHD,1
食料品,2502,アサヒグループHD,1
食料品,2503,キリンHD,1
食料品,2914,日本たばこ産業,1
食料品,2802,味の素,1
食料品,2269,明治HD,1
食料品,2282,日本ハム,1
食料品,2587,サントリー食品インターナショナル,1
食料品,2002,日清製粉グループ本社,1
繊維製品,3402,東レ,1
繊維製品,3401,帝人,1
繊維製品,3101,東洋紡,1
繊維製品,3591,ワコールHD,1
繊維製品,3002,グンゼ,1
繊維製品,8111,ゴールドウイン,1
パルプ・紙,3861,王子HD,1
パルプ・紙,3863,日本製紙,1
パルプ・紙,3941,レンゴー,1
パルプ・紙,3880,大王製紙,1
パルプ・紙,3708,特種東海製紙,1
化学,4063,信越化学工業,1
化学,4188,三菱ケミカルグループ,1
化学,4005,住友化学,1
化学,3407,旭化成,1
化学,4901,富士フイルムHD,1
化学,6988,日東電工,1
化学,4452,花王,1
化学,4204,積水化学工業,1
医薬品,4502,武田薬品工業,1
医薬品,4519,中外製薬,1
医薬品,4568,第一三共,1
医薬品,4503,アステラス製薬,1
医薬品,4507,塩野義製薬,1
医薬品,4523,エーザイ,1
医薬品,4578,大塚HD,1
石油・石炭製品,5020,ENEOS HD,1
石油・石炭製品,5019,出光興産,1
石油・石炭製品,5017,富士石油,1
石油・石炭製品,5021,コスモエネルギーHD,1
石油・石炭製品,3315,日本コークス工業,1
ゴム製品,5108,ブリヂストン,1
ゴム製品,5110,住友ゴム工業,1
ゴム製品,5101,横浜ゴム,1
ゴム製品,5105,TOYO TIRE,1
ゴム製品,5191,住友理工,1
ガラス・土石製品,5201,AGC,1
ガラス・土石製品,5332,TOTO,1
ガラス・土石製品,5333,日本碍子,1
ガラス・土石製品,5301,東海カーボン,1
ガラス・土石製品,5214,日本電気硝子,1
ガラス・土石製品,5233,太平洋セメント,1
ガラス・土石製品,5232,住友大阪セメント,1
鉄鋼,5401,日本製鉄,1
鉄鋼,5411,JFE HD,1
鉄鋼,5406,神戸製鋼所,1
鉄鋼,5444,大和工業,1
鉄鋼,5463,丸一鋼管,1
鉄鋼,5471,大同特殊鋼,1
非鉄金属,5803,フジクラ,1
非鉄金属,5713,住友金属鉱山,1
非鉄金属,5802,住友電気工業,1
非鉄金属,5706,三井金属,1
非鉄金属,5711,三菱マテリアル,1
非鉄金属,5714,DOWA HD,1
非鉄金属,5741,UACJ,1
金属製品,3436,SUMCO,1
金属製品,5938,LIXIL,1
金属製品,5947,リンナイ,1
金属製品,5991,日本発條,1
金属製品,5975,東プレ,1
金属製品,5929,三和HD,1
機械,6301,小松製作所,1
機械,6367,ダイキン工業,1
