,rank,code,etf_group,price_date,last,final_score,signal,relative_score,absolute_score,underlying_score,purity_score,etf_technical_score,etf_risk_score,liquidity_score,penalty,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rsi14,ma50_gap,ma200_gap,vol20,maxdd_6m,avg_turnover_yen
1626.T,1,1626,情報通信・サービスその他,2026-08-21,47220.0,74.36111790597593,BUY,70.77840262214089,79.73519083172847,74.83681703216214,57.73502691896258,80.41590051875515,62.04700930800825,36.21064183311107,0.0,0.0800548947849955,0.10438712750646895,0.21879921812591197,0.07101368988156187,0.056259447115627914,0.13302219335570453,58.35142266136781,0.06449734941540775,0.13233616472125753,0.2588769818728108,-0.08597478416828919,34317256.5
1631.T,2,1631,銀行,2026-08-21,39880.0,71.82690780560134,WATCH,67.32661786181777,78.5773427212767,64.83218279062865,100.0,73.3977529871674,47.57852499133944,89.9235543899739,0.0,-0.029683698296837036,0.1175968899496651,0.17273516635232622,-0.038724903200270666,0.06946920955882407,0.08695814158211879,48.844095911373074,0.015023859962562724,0.21540433216159016,0.31997243234075523,-0.16264549036377784,378093225.0
1617.T,3,1617,食品,2026-08-21,49330.0,68.34785000172045,WATCH,63.46081058875673,75.67840912116604,60.58292155105373,70.71067811865474,74.19762804912932,73.15572308419503,41.599154492932755,0.0,0.04557015684612131,0.10882967335986948,0.0996438135848916,0.03652895194268768,0.06070199296902845,0.013866788814684172,60.38317244298525,0.047069274783374304,0.12921974291581173,0.18638224720366384,-0.09092841393645401,41818616.5
1632.T,4,1632,金融（除く銀行）,2026-08-21,41860.0,68.24100224019836,WATCH,65.1951509578307,72.80977916374982,66.93458140098649,57.73502691896258,61.230169332658974,66.64598092997177,63.577186498632265,0.0,-0.034148592524227084,0.08324506911497687,0.14345736822213384,-0.043189797427660714,0.035117388724135834,0.05768034345192641,47.55710665340226,0.004755974586339029,0.14434540429028186,0.22122853810529478,-0.1216876544329979,91285596.0
1618.T,5,1618,エネルギー資源,2026-08-21,35470.0,65.33622113689965,WATCH,63.016020277387135,68.81652242616842,70.93880464090184,70.71067811865474,60.579712349606154,49.438964065959006,42.372591194795845,0.0,0.059122126007763454,0.042242146557496696,0.013161711870534054,0.05008092110432982,-0.005885533833344336,-0.07261531289967338,63.10313058683211,0.09025657722369629,0.08246512100211523,0.2852332552278165,-0.2522869757182893,42991313.0
1625.T,6,1625,電機・精密,2026-08-21,64020.0,62.93792494969042,WATCH,59.66925173605983,67.8409347701363,69.00702965917638,70.71067811865474,54.33919390505777,24.675920742461173,64.0293869379537,0.0,-0.0031142946122703075,0.03258552444016716,0.21821226262260907,-0.012155499515703938,-0.015542155950673875,0.13243523785240163,46.292806633394825,-0.034703283703113263,0.1385261754650322,0.4546546592283728,-0.18914505935452552,92855715.5
1628.T,7,1628,運輸・物流,2026-08-21,22230.0,62.03089732947751,WATCH,63.70552382782523,72.01895758195593,67.60604302131634,50.0,70.51630437147169,68.53382642560302,20.50288376088837,5.0,0.04784350695262796,0.10081191184459715,0.055250608297771286,0.038802302049194326,0.052684231453756114,-0.030526416472436146,65.58175199176333,0.06984264672206808,0.08110222690834279,0.21278596608336275,-0.10859422478996916,17262348.75
1622.T,8,1622,自動車・輸送機,2026-08-21,35670.0,58.93058928023592,NEUTRAL,56.86989901225313,62.0216246822101,60.22034521127608,70.71067811865474,62.22765982137152,32.887769035181606,54.69741956813086,0.0,0.064776119402985,0.0852589908486181,-0.07463897166434508,0.05573491449955137,0.03713131045777707,-0.1604159964345525,58.659575279507095,0.06847160211537195,0.030762974291896894,0.3835820892233171,-0.2443330845870012,66217889.0
1627.T,9,1627,電力・ガス,2026-08-21,12010.0,57.990117114618826,NEUTRAL,56.396704079139134,60.38023666783835,58.23860669339763,100.0,54.6155498372775,64.1035011012269,41.47704371610585,0.0,0.0525854513584576,0.05415759682816024,-0.05493547205659022,0.04354424645502397,0.006029916437319205,-0.14071249682679765,63.09130016594649,0.05572762496482064,0.03389315139363713,0.22870848006034958,-0.15172158487602283,41635868.5
1621.T,10,1621,医薬品,2026-08-21,30840.0,56.4951647891305,NEUTRAL,53.13931526841921,61.52893907019744,54.493571667528634,100.0,53.911874935742986,55.6406086733075,40.970635425785325,0.0,0.048979591836734615,0.04548021132497615,-0.021541894680641605,0.039938386933300984,-0.0026474690658648825,-0.10731891945084904,58.89288464680437,0.05285467309339409,0.041557742860002245,0.27179960099258604,-0.17414909095734143,40884807.5
1620.T,11,1620,素材・化学,2026-08-21,37200.0,53.47439410834717,NEUTRAL,50.10301396979271,58.53146431617887,58.82356954604542,57.73502691896258,35.36482873006643,61.744552895866235,24.413811722082926,0.0,-0.026687598116169498,-0.006761037857118679,0.06830118662738904,-0.03572880301960313,-0.05488871824795971,-0.01747583814281839,46.44837070483404,-0.0181438767579869,0.07632914027114723,0.25005434099374274,-0.12500001317578746,20999965.5
1623.T,12,1623,鉄鋼・非鉄,2026-08-21,64930.0,53.34674122344758,NEUTRAL,49.55524485394546,59.03398577770075,58.91764457074407,57.73502691896258,34.38149328113156,10.451806094517929,82.33941666929927,0.0,0.05235008103727723,-0.07835742814721236,0.1273154294368164,0.0433088761338436,-0.1264851085380534,0.04153840466660896,50.21779576013771,-0.009746814663882164,0.10458761226883806,0.6099664369419026,-0.36519687722673544,214792778.5
1629.T,13,1629,商社・卸売,2026-08-21,266.29998779296875,52.698051890310026,NEUTRAL,49.158889195560874,58.006795932433754,48.440501490208675,100.0,34.662960762944465,44.07758055965058,93.9259814058344,0.0,0.018355593854564978,-0.033772119908077824,-0.029587829510028585,0.009314388951131347,-0.08189980029891886,-0.11536485428023602,56.02946249429525,0.043094576811613994,0.0633422458862205,0.18333258563353175,-0.9981273843591589,610288666.7393494
1630.T,14,1630,小売,2026-08-21,38080.0,51.04818611597105,NEUTRAL,46.6492508466207,57.64658901999657,45.042761622732385,100.0,48.90693613034705,64.34546208697003,28.670394486255212,0.0,0.007673987827467643,0.061489882533003026,-0.017588809206557587,-0.0013672170759659874,0.013362202142161994,-0.10336583397676502,49.135811128629726,0.006734742391711901,0.03188175073019095,0.23681977950439134,-0.11648794934691009,25405889.5
1624.T,15,1624,機械,2026-08-21,84240.0,37.965361469429546,AVOID,35.551609828773245,41.58598893041399,39.67920519995881,100.0,21.185920833867097,47.526713599128605,33.370123887719544,0.0,-0.030498331223385855,-0.029059194889709428,-0.10144089855910143,-0.039539536126819486,-0.07718687528055046,-0.18721792332930887,42.602566562445254,-0.04098231689476539,-0.0010455386508487763,0.31556534270321523,-0.17992226325196448,30770388.0
1619.T,16,1619,建設・資材,2026-08-21,44780.0,35.62670964138477,AVOID,34.05441851833837,37.98514632595437,34.72251701743915,70.71067811865474,18.22939633826782,58.943701414987196,38.559600379384904,0.0,-0.052876480541455106,-0.02935167027043184,-0.0829073608178672,-0.06191768544488874,-0.07747935066127287,-0.16868438558807464,40.76477200054698,-0.06037035857458173,-0.02306523217500056,0.25809101690652636,-0.1554055619991116,37452275.5
CASH,17,CASH,現金 / NO TRADE,2026-08-21,1.0,30.677521516883345,NO TRADE / CASH,30.677521516883345,30.677521516883345,30.677521516883345,100.0,30.677521516883345,100.0,100.0,0.0,0.0,0.0,0.0,,,,50.0,0.0,0.0,0.0,0.0,
