rebalance,core_share,median_full_cagr,median_holdout_cagr,median_full_sharpe,median_holdout_sharpe,median_full_mdd,median_holdout_mdd,median_turnover,min_positive_era_count
bimonthly,0.0,0.10734792774211965,0.13056382144431533,0.5899689488433484,0.6720545292415074,-0.4058435903166212,-0.4058435903166207,4.550740938815139,3
bimonthly,0.25,0.10847761539665313,0.12824136057606994,0.6166392381701278,0.6975460507382867,-0.3910591747661256,-0.3910591747661249,3.474908932719604,3
bimonthly,0.5,0.10909370795919393,0.12530590265354624,0.63898464875423,0.7182174667254059,-0.37624821821075294,-0.37624821821075277,2.394642083936854,3
bimonthly,0.75,0.10919540381701098,0.12175962059052026,0.6539867731341095,0.7296710163166947,-0.3657554457620438,-0.3657554457620435,1.308914305657121,4
bimonthly,1.0,0.10870522535437255,0.1175215730321888,0.6586535700370423,0.7268943810321375,-0.35663695100991843,-0.356636951009918,0.28669017107735534,4
monthly,0.0,0.10620693512500001,0.13400873687099224,0.591454333956864,0.6910574773432494,-0.35073274592737713,-0.33805445539099876,6.524196158455549,4
monthly,0.25,0.10947064857537636,0.13122358656031508,0.6294312824684001,0.7149118752608556,-0.337337264176146,-0.33733726417614546,4.992911371940399,4
monthly,0.5,0.11193347578506985,0.12766500919565138,0.6627578495289724,0.7320087917650626,-0.33813978022829483,-0.3381397802282957,3.4496335617474267,4
monthly,0.75,0.11358617060656295,0.12333129457015235,0.6829085986705415,0.7401057145666634,-0.3427350435718653,-0.3427350435718647,1.8961209401713583,4
monthly,1.0,0.11435268460814085,0.11815259276744627,0.6859699201309892,0.7307263966475113,-0.3550475320884534,-0.3550475320884521,0.3940620233842833,4
